#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151548786
#Date Time: 2019-05-06 11:17:23.627
#Sample rate: 5555.56Hz
#Samples: 8192
#Trigger: Source: Channel 4 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 2: Range: 100 mV/div Offset: 0 V

Time (s),Channel 2 (V)
-0.68356784962871275,-0.056581667628874968
-0.68338784962871291,-0.023337129016215701
-0.68320784962871284,0.0099074095964889301
-0.68302784962871277,-0.08151507158840722
-0.68284784962871292,0.033653508605500496
-0.68266784962871285,-0.05539436267839639
-0.68248784962871278,-0.022149824065747382
-0.68230784962871294,0.011094714546911893
-0.68212784962871287,-0.081515071588365101
-0.6819478496287128,0.033653508605552863
-0.68176784962871295,-0.056581667628808015
-0.68158784962871288,-0.023337129016215701
-0.68140784962871281,0.011094714546942127
-0.68122784962871297,-0.081515071588322996
-0.6810478496287129,0.033653508605500496
-0.68086784962871283,-0.055394362678436893
-0.68068784962871276,-0.023337129016184923
-0.68050784962871291,0.011094714546926468
-0.68032784962871284,-0.08151507158840722
-0.68014784962871278,0.033653508605552863
-0.67996784962871293,-0.056581667628808015
-0.67978784962871286,-0.022149824065763046
-0.67960784962871279,0.011094714546942127
-0.67942784962871294,-0.081515071588322996
-0.67924784962871287,0.033653508605500496
-0.67906784962871281,-0.056581667628890088
-0.67888784962871296,-0.0221498240657787
-0.67870784962871289,0.011094714546927006
-0.67852784962871282,-0.08151507158840722
-0.67834784962871275,0.033653508605512368
-0.6781678496287129,-0.05539436267839639
-0.67798784962871284,-0.023337129016200581
-0.67780784962871277,0.011094714546942127
-0.67762784962871292,-0.081515071588365101
-0.67744784962871285,0.034840813555953143
-0.67726784962871278,-0.055394362678436893
-0.67708784962871293,-0.022149824065777611
-0.67690784962871287,0.011094714546927006
-0.6767278496287128,-0.08151507158840722
-0.67654784962871295,0.033653508605448121
-0.67636784962871288,-0.05539436267839639
-0.67618784962871281,-0.023337129016200581
-0.67600784962871296,0.011094714546910814
-0.6758278496287129,-0.081515071588365101
-0.67564784962871283,0.034840813556006059
-0.67546784962871276,-0.055394362678421773
-0.67528784962871291,-0.022149824065762498
-0.67510784962871284,0.011094714546942127
-0.67492784962871277,-0.08151507158840722
-0.67474784962871293,0.034840813555953143
-0.67456784962871286,-0.055394362678395856
-0.67438784962871279,-0.022149824065747382
